protein_id	sequence_found	pssm_found	dssp_found	structure_found	sequence_path	pssm_path	dssp_path	structure_path
1A2K_AB_r	1	1	1	1	seq/1A2K_AB_r.fasta	pssm/1A2K_AB_r.npy	dssp/1A2K_AB_r.npy	coords/1A2K_AB_r.npz
1A2K_A_l	1	1	1	1	seq/1A2K_A_l.fasta	pssm/1A2K_A_l.npy	dssp/1A2K_A_l.npy	coords/1A2K_A_l.npz
1ACB_A_l	1	1	1	1	seq/1ACB_A_l.fasta	pssm/1ACB_A_l.npy	dssp/1ACB_A_l.npy	coords/1ACB_A_l.npz
1ACB_B_r	1	1	1	1	seq/1ACB_B_r.fasta	pssm/1ACB_B_r.npy	dssp/1ACB_B_r.npy	coords/1ACB_B_r.npz
1AHW_A_l	1	1	1	1	seq/1AHW_A_l.fasta	pssm/1AHW_A_l.npy	dssp/1AHW_A_l.npy	coords/1AHW_A_l.npz
1AHW_LH_r	1	1	1	1	seq/1AHW_LH_r.fasta	pssm/1AHW_LH_r.npy	dssp/1AHW_LH_r.npy	coords/1AHW_LH_r.npz
1AK4_A_l	1	1	1	1	seq/1AK4_A_l.fasta	pssm/1AK4_A_l.npy	dssp/1AK4_A_l.npy	coords/1AK4_A_l.npz
1AK4_A_r	1	1	1	1	seq/1AK4_A_r.fasta	pssm/1AK4_A_r.npy	dssp/1AK4_A_r.npy	coords/1AK4_A_r.npz
1AKJ_AB_l	1	1	1	1	seq/1AKJ_AB_l.fasta	pssm/1AKJ_AB_l.npy	dssp/1AKJ_AB_l.npy	coords/1AKJ_AB_l.npz
1AKJ_DE_r	1	1	1	1	seq/1AKJ_DE_r.fasta	pssm/1AKJ_DE_r.npy	dssp/1AKJ_DE_r.npy	coords/1AKJ_DE_r.npz
1ATN_A_l	1	1	1	1	seq/1ATN_A_l.fasta	pssm/1ATN_A_l.npy	dssp/1ATN_A_l.npy	coords/1ATN_A_l.npz
1ATN_B_r	1	1	1	1	seq/1ATN_B_r.fasta	pssm/1ATN_B_r.npy	dssp/1ATN_B_r.npy	coords/1ATN_B_r.npz
1AVX_A_r	1	1	1	1	seq/1AVX_A_r.fasta	pssm/1AVX_A_r.npy	dssp/1AVX_A_r.npy	coords/1AVX_A_r.npz
1AVX_B_l	1	1	1	1	seq/1AVX_B_l.fasta	pssm/1AVX_B_l.npy	dssp/1AVX_B_l.npy	coords/1AVX_B_l.npz
1AY7_B_l	1	1	1	1	seq/1AY7_B_l.fasta	pssm/1AY7_B_l.npy	dssp/1AY7_B_l.npy	coords/1AY7_B_l.npz
1AY7_B_r	1	1	1	1	seq/1AY7_B_r.fasta	pssm/1AY7_B_r.npy	dssp/1AY7_B_r.npy	coords/1AY7_B_r.npz
1AZS_AB_r	1	1	1	1	seq/1AZS_AB_r.fasta	pssm/1AZS_AB_r.npy	dssp/1AZS_AB_r.npy	coords/1AZS_AB_r.npz
1AZS_A_l	1	1	1	1	seq/1AZS_A_l.fasta	pssm/1AZS_A_l.npy	dssp/1AZS_A_l.npy	coords/1AZS_A_l.npz
1B6C_A_l	1	1	1	1	seq/1B6C_A_l.fasta	pssm/1B6C_A_l.npy	dssp/1B6C_A_l.npy	coords/1B6C_A_l.npz
1B6C_A_r	1	1	1	1	seq/1B6C_A_r.fasta	pssm/1B6C_A_r.npy	dssp/1B6C_A_r.npy	coords/1B6C_A_r.npz
1BGX_A_l	1	1	1	1	seq/1BGX_A_l.fasta	pssm/1BGX_A_l.npy	dssp/1BGX_A_l.npy	coords/1BGX_A_l.npz
1BGX_LH_r	1	1	1	1	seq/1BGX_LH_r.fasta	pssm/1BGX_LH_r.npy	dssp/1BGX_LH_r.npy	coords/1BGX_LH_r.npz
1BJ1_GH_l	1	1	1	1	seq/1BJ1_GH_l.fasta	pssm/1BJ1_GH_l.npy	dssp/1BJ1_GH_l.npy	coords/1BJ1_GH_l.npz
1BJ1_LH_r	1	1	1	1	seq/1BJ1_LH_r.fasta	pssm/1BJ1_LH_r.npy	dssp/1BJ1_LH_r.npy	coords/1BJ1_LH_r.npz
