pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B
PP_POS__1A2K_A_l__1A2K_AB_r	1A2K_A_l	1A2K_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1A2K	1A2K	202	246
PP_POS__1ACB_A_l__1ACB_B_r	1ACB_A_l	1ACB_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ACB	1ACB	70	245
PP_POS__1AHW_A_l__1AHW_LH_r	1AHW_A_l	1AHW_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AHW	1AHW	202	428
PP_POS__1AK4_A_l__1AK4_A_r	1AK4_A_l	1AK4_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AK4	1AK4	146	164
PP_POS__1AKJ_AB_l__1AKJ_DE_r	1AKJ_AB_l	1AKJ_DE_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AKJ	1AKJ	228	375
PP_POS__1ATN_A_l__1ATN_B_r	1ATN_A_l	1ATN_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ATN	1ATN	258	371
PP_POS__1AVX_B_l__1AVX_A_r	1AVX_B_l	1AVX_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AVX	1AVX	169	223
PP_POS__1AY7_B_l__1AY7_B_r	1AY7_B_l	1AY7_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AY7	1AY7	89	96
PP_POS__1AZS_A_l__1AZS_AB_r	1AZS_A_l	1AZS_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AZS	1AZS	335	353
PP_POS__1B6C_A_l__1B6C_A_r	1B6C_A_l	1B6C_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1B6C	1B6C	330	107
PP_POS__1BGX_A_l__1BGX_LH_r	1BGX_A_l	1BGX_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BGX	1BGX	807	423
PP_POS__1BJ1_GH_l__1BJ1_LH_r	1BJ1_GH_l	1BJ1_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BJ1	1BJ1	189	431
