pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B	split
PP_POS__1A2K_A_l__1A2K_AB_r	1A2K_AB_r	1A2K_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1A2K	1A2K	246	202	train
PP_POS__1ACB_A_l__1ACB_B_r	1ACB_A_l	1ACB_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ACB	1ACB	70	245	test
PP_POS__1AHW_A_l__1AHW_LH_r	1AHW_A_l	1AHW_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AHW	1AHW	202	428	train
PP_POS__1AK4_A_l__1AK4_A_r	1AK4_A_l	1AK4_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AK4	1AK4	146	164	train
PP_POS__1AKJ_AB_l__1AKJ_DE_r	1AKJ_AB_l	1AKJ_DE_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AKJ	1AKJ	228	375	train
PP_POS__1ATN_A_l__1ATN_B_r	1ATN_A_l	1ATN_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ATN	1ATN	258	371	test
PP_POS__1AVX_B_l__1AVX_A_r	1AVX_A_r	1AVX_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1AVX	1AVX	223	169	val
PP_POS__1AY7_B_l__1AY7_B_r	1AY7_B_l	1AY7_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AY7	1AY7	89	96	train
PP_POS__1AZS_A_l__1AZS_AB_r	1AZS_AB_r	1AZS_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1AZS	1AZS	353	335	train
PP_POS__1B6C_A_l__1B6C_A_r	1B6C_A_l	1B6C_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1B6C	1B6C	330	107	test
PP_POS__1BGX_A_l__1BGX_LH_r	1BGX_A_l	1BGX_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BGX	1BGX	807	423	train
PP_POS__1BJ1_GH_l__1BJ1_LH_r	1BJ1_GH_l	1BJ1_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BJ1	1BJ1	189	431	train
PP_POS__1BKD_A_l__1BKD_A_r	1BKD_A_l	1BKD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BKD	1BKD	166	463	val
PP_POS__1BUH_A_l__1BUH_A_r	1BUH_A_l	1BUH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BUH	1BUH	76	294	train
PP_POS__1BVK_A_l__1BVK_BA_r	1BVK_A_l	1BVK_BA_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BVK	1BVK	129	224	val
PP_POS__1BVN_A_l__1BVN_A_r	1BVN_A_l	1BVN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BVN	1BVN	74	495	train
PP_POS__1CGI_A_l__1CGI_B_r	1CGI_A_l	1CGI_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1CGI	1CGI	56	245	test
PP_POS__1CLV_A_l__1CLV_A_r	1CLV_A_l	1CLV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1CLV	1CLV	32	470	train
PP_POS__1D6R_A_l__1D6R_A_r	1D6R_A_l	1D6R_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1D6R	1D6R	58	223	train
PP_POS__1DE4_AB_l__1DE4_AB_r	1DE4_AB_l	1DE4_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DE4	1DE4	1278	371	test
PP_POS__1DFJ_A_l__1DFJ_B_r	1DFJ_A_l	1DFJ_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DFJ	1DFJ	456	124	train
PP_POS__1DQJ_A_l__1DQJ_CD_r	1DQJ_A_l	1DQJ_CD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DQJ	1DQJ	129	424	train
PP_POS__1E4K_A_l__1E4K_AB_r	1E4K_AB_r	1E4K_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1E4K	1E4K	419	173	train
PP_POS__1E6E_D_l__1E6E_A_r	1E6E_A_r	1E6E_D_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1E6E	1E6E	455	107	val
PP_POS__1E6J_A_l__1E6J_LH_r	1E6J_A_l	1E6J_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E6J	1E6J	72	429	train
PP_POS__1E96_A_l__1E96_A_r	1E96_A_l	1E96_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E96	1E96	192	183	train
PP_POS__1EAW_A_l__1EAW_A_r	1EAW_A_l	1EAW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EAW	1EAW	58	241	train
PP_POS__1EER_AB_l__1EER_A_r	1EER_AB_l	1EER_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EER	1EER	414	166	train
PP_POS__1EFN_A_l__1EFN_A_r	1EFN_A_l	1EFN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EFN	1EFN	57	99	train
PP_POS__1EWY_A_l__1EWY_A_r	1EWY_A_l	1EWY_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EWY	1EWY	98	295	test
PP_POS__1EXB_ABCD_l__1EXB_ABCD_r	1EXB_ABCD_l	1EXB_ABCD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EXB	1EXB	396	1300	train
PP_POS__1EZU_AB_l__1EZU_A_r	1EZU_AB_l	1EZU_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EZU	1EZU	284	223	train
PP_POS__1F34_A_l__1F34_A_r	1F34_A_l	1F34_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F34	1F34	127	326	test
PP_POS__1F51_C_l__1F51_AB_r	1F51_AB_r	1F51_C_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1F51	1F51	343	121	train
PP_POS__1F6M_A_l__1F6M_A_r	1F6M_A_l	1F6M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F6M	1F6M	108	317	train
PP_POS__1FAK_B_l__1FAK_LH_r	1FAK_B_l	1FAK_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FAK	1FAK	182	348	train
PP_POS__1FC2_A_l__1FC2_A_r	1FC2_A_l	1FC2_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FC2	1FC2	207	60	train
PP_POS__1FCC_A_l__1FCC_AB_r	1FCC_AB_r	1FCC_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1FCC	1FCC	414	56	train
