pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B
PP_POS__1A2K_A_l__1A2K_AB_r	1A2K_AB_r	1A2K_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1A2K	1A2K	246	202
PP_POS__1AHW_A_l__1AHW_LH_r	1AHW_A_l	1AHW_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AHW	1AHW	202	428
PP_POS__1AK4_A_l__1AK4_A_r	1AK4_A_l	1AK4_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AK4	1AK4	146	164
PP_POS__1AKJ_AB_l__1AKJ_DE_r	1AKJ_AB_l	1AKJ_DE_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AKJ	1AKJ	228	375
PP_POS__1AY7_B_l__1AY7_B_r	1AY7_B_l	1AY7_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1AY7	1AY7	89	96
PP_POS__1AZS_A_l__1AZS_AB_r	1AZS_AB_r	1AZS_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1AZS	1AZS	353	335
PP_POS__1BGX_A_l__1BGX_LH_r	1BGX_A_l	1BGX_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BGX	1BGX	807	423
PP_POS__1BJ1_GH_l__1BJ1_LH_r	1BJ1_GH_l	1BJ1_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BJ1	1BJ1	189	431
PP_POS__1BUH_A_l__1BUH_A_r	1BUH_A_l	1BUH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BUH	1BUH	76	294
PP_POS__1BVN_A_l__1BVN_A_r	1BVN_A_l	1BVN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BVN	1BVN	74	495
PP_POS__1CLV_A_l__1CLV_A_r	1CLV_A_l	1CLV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1CLV	1CLV	32	470
PP_POS__1D6R_A_l__1D6R_A_r	1D6R_A_l	1D6R_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1D6R	1D6R	58	223
PP_POS__1DFJ_A_l__1DFJ_B_r	1DFJ_A_l	1DFJ_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DFJ	1DFJ	456	124
PP_POS__1DQJ_A_l__1DQJ_CD_r	1DQJ_A_l	1DQJ_CD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DQJ	1DQJ	129	424
PP_POS__1E4K_A_l__1E4K_AB_r	1E4K_AB_r	1E4K_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1E4K	1E4K	419	173
PP_POS__1E6J_A_l__1E6J_LH_r	1E6J_A_l	1E6J_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E6J	1E6J	72	429
PP_POS__1E96_A_l__1E96_A_r	1E96_A_l	1E96_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E96	1E96	192	183
PP_POS__1EAW_A_l__1EAW_A_r	1EAW_A_l	1EAW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EAW	1EAW	58	241
PP_POS__1EER_AB_l__1EER_A_r	1EER_AB_l	1EER_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EER	1EER	414	166
PP_POS__1EFN_A_l__1EFN_A_r	1EFN_A_l	1EFN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EFN	1EFN	57	99
PP_POS__1EXB_ABCD_l__1EXB_ABCD_r	1EXB_ABCD_l	1EXB_ABCD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EXB	1EXB	396	1300
PP_POS__1EZU_AB_l__1EZU_A_r	1EZU_AB_l	1EZU_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EZU	1EZU	284	223
PP_POS__1F51_C_l__1F51_AB_r	1F51_AB_r	1F51_C_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1F51	1F51	343	121
PP_POS__1F6M_A_l__1F6M_A_r	1F6M_A_l	1F6M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F6M	1F6M	108	317
PP_POS__1FAK_B_l__1FAK_LH_r	1FAK_B_l	1FAK_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FAK	1FAK	182	348
PP_POS__1FC2_A_l__1FC2_A_r	1FC2_A_l	1FC2_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FC2	1FC2	207	60
PP_POS__1FCC_A_l__1FCC_AB_r	1FCC_AB_r	1FCC_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1FCC	1FCC	414	56
PP_POS__1FFW_A_l__1FFW_A_r	1FFW_A_l	1FFW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FFW	1FFW	69	128
PP_POS__1FLE_A_l__1FLE_A_r	1FLE_A_l	1FLE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FLE	1FLE	47	240
PP_POS__1FQ1_A_l__1FQ1_F_r	1FQ1_A_l	1FQ1_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FQ1	1FQ1	290	178
PP_POS__1FSK_A_l__1FSK_BC_r	1FSK_A_l	1FSK_BC_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FSK	1FSK	159	434
PP_POS__1GHQ_A_l__1GHQ_A_r	1GHQ_A_l	1GHQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GHQ	1GHQ	130	294
PP_POS__1GL1_A_l__1GL1_1_r	1GL1_1_r	1GL1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GL1	1GL1	236	34
PP_POS__1GLA_A_l__1GLA_O_r	1GLA_A_l	1GLA_O_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GLA	1GLA	150	497
